id,turn_number,generated_response
6,6,Ehh I wonder. Sometimes it seems that certain celebrities like it and others don't. I am a private person so I really do not understand this type of thing.
7,7,Ehh I wonder. Sometimes it seems that certain celebrities like it and others don't. I am a private person so I really do not understand this type of thing.
8,8,Ehh I wonder. Sometimes it seems that certain celebrities like it and others don't. I am a private person so I really do not understand this type of thing.
9,9,Ehh I wonder. Sometimes it seems that certain celebrities like it and others don't. I am a private person so I really do not understand this type of thing.
10,10,Ehh I wonder. Sometimes it seems that certain celebrities like it and others don't. I am a private person so I really do not understand this type of thing.
36,6,I agree and she was so young when they married i think it was probable theyd grow apart
37,7,Yes. And I mean I wouldn't blame the guy. Especially being 20 years older than her. Not exactly an easy age gap.
38,8,That's true. Are you a fan of Billy BOb Thornton or Angelina Jolie?
39,9,That is a good point. Sometimes it does take a tragedy from someone famous to get the ball rolling. Kinda sad that it does take that though to be honest.
40,10,She definitely feels very strongly about it. It's just a little mindboggling to me that one of the most well known voices is 16.
70,6,"Yeah that's a good point, too.  It must be some pretty dedicated and caring people who do this.  I wonder who funds the whole orphanage operation."
71,7,"yes it needs help, but i think there is a lack of good foster parents"
72,8,"Yeah that's a good point, too.  It must be some pretty dedicated and caring people who do this.  I wonder who funds the whole orphanage operation."
73,9,"Oh that's so sad... My neighbors did foster care a lot, and they were a great family. but man some of the kids you could tell had been through some shit and they were so angry."
74,10,"Yeah that's a good point, too.  It must be some pretty dedicated and caring people who do this.  I wonder who funds the whole orphanage operation."
108,6,It really is. I'm glad that woman in the article had sucha  positive outlook on it though. I've dealt with several family members getting cancer when I was a kid and there was a lot of suffering.
109,7,That's true. Are you a fan of Billy BOb Thornton or Angelina Jolie?
110,8,"I just never understood why he'd leave her for Angelina, but what do I know lol I wonder if there's a chance Angelina and Billy Bob might reconcile now"
111,9,Very much so. The divorce rate with celebrities is outrageous because of their lifestyle. I always like to hear about celebs who've been married for 15+ years. It's so rare.
112,10,It really is. I'm glad that woman in the article had sucha  positive outlook on it though. I've dealt with several family members getting cancer when I was a kid and there was a lot of suffering.
146,6,"I just never understood why he'd leave her for Angelina, but what do I know lol I wonder if there's a chance Angelina and Billy Bob might reconcile now"
147,7,That's true. Are you a fan of Billy BOb Thornton or Angelina Jolie?
148,8,"I just never understood why he'd leave her for Angelina, but what do I know lol I wonder if there's a chance Angelina and Billy Bob might reconcile now"
149,9,"I just never understood why he'd leave her for Angelina, but what do I know lol I wonder if there's a chance Angelina and Billy Bob might reconcile now"
150,10,"I just never understood why he'd leave her for Angelina, but what do I know lol I wonder if there's a chance Angelina and Billy Bob might reconcile now"
159,6,I think it's about time and I'm very glad the movement has so much traction!
160,7,what did you think about this article
161,8,it is nice he changed his life around and is helping others now
162,9,I felt very disturbed while reading the article about the family situations.
163,10,I felt very disturbed while reading the article about the family situations.
195,6,What did you feel about the article?
196,7,What did you feel about the article?
197,8,It really is. I'm glad that woman in the article had sucha  positive outlook on it though. I've dealt with several family members getting cancer when I was a kid and there was a lot of suffering.
198,9,What did you feel about the article?
199,10,I found it kinda hard to connect to this article.  It's defiitely sad for the families involved.
225,6,I can understand why the Rohingya are upset though. Despite being born in living their lives in Burma they are being denied any types of citizenship rights and are constantly the victims of violence.
226,7,yes I agree i think there efforts are helping some but news like the brutal rape is scary
227,8,The article was very sad. What did you think abotu it?
228,9,I can understand why the Rohingya are upset though. Despite being born in living their lives in Burma they are being denied any types of citizenship rights and are constantly the victims of violence.
229,10,I can understand why the Rohingya are upset though. Despite being born in living their lives in Burma they are being denied any types of citizenship rights and are constantly the victims of violence.
262,6,I was wondering how the UN might put pressure on the Burmese government to correct this. Sanctions perhaps? Or maybe an intervention force?
263,7,I was wondering how the UN might put pressure on the Burmese government to correct this. Sanctions perhaps? Or maybe an intervention force?
264,8,I can understand why the Rohingya are upset though. Despite being born in living their lives in Burma they are being denied any types of citizenship rights and are constantly the victims of violence.
265,9,I was wondering how the UN might put pressure on the Burmese government to correct this. Sanctions perhaps? Or maybe an intervention force?
